Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits,Stock_Symbol,Sentiment_Score,Title,Target
2021-02-05,875.1450294447208,881.7651430554548,870.5880568440388,872.2883911132812,20248046,0.0,0.0,RELIANCE,0.4547817623717998,RELIANCE reaches new production milestone (Ref: 987),1
2021-02-08,876.5052740367894,892.8061507159327,874.691600163488,884.8484497070312,21183400,0.0,0.0,RELIANCE,-0.13804987494241294,RELIANCE announces investment in green energy (Ref: 472),1
2021-02-09,889.6095123241837,902.1468540671391,885.2338830875444,886.9795532226562,19604141,0.0,0.0,RELIANCE,-0.046961451223260675,RELIANCE announces investment in green energy (Ref: 610),1
2021-02-10,885.8913333557456,899.9476653520371,873.8980223594517,895.2092895507812,21234156,0.0,0.0,RELIANCE,0.5902773981075176,RELIANCE announces investment in green energy (Ref: 589),1
2021-02-11,897.7938959649373,935.9728593397923,894.2798277886045,932.11865234375,42539278,0.0,0.0,RELIANCE,0.32303123164835035,RELIANCE reaches new production milestone (Ref: 989),0
2021-02-12,932.027983547643,942.2301692248576,913.8453687465834,925.7252807617188,30497029,0.0,0.0,RELIANCE,-0.7457543254772466,Global oil prices impact RELIANCE refining margins (Ref: 365),0
2021-02-15,928.6498147101009,934.6577737945663,918.1982231005434,921.644287109375,15791099,0.0,0.0,RELIANCE,-0.03538853770277994,New regulatory norms for energy sector impact RELIANCE (Ref: 403),1
2021-02-16,924.8864053509033,942.8649480322981,922.7325927047402,933.8416748046875,21421660,0.0,0.0,RELIANCE,-0.415857297733611,New regulatory norms for energy sector impact RELIANCE (Ref: 386),1
2021-02-17,934.0683933136262,950.3692703869466,929.8061636594126,944.6107177734375,23742994,0.0,0.0,RELIANCE,-0.0007888465867154082,RELIANCE reaches new production milestone (Ref: 830),0
2021-02-18,945.4041756996926,956.014443525895,933.6602717704307,937.559814453125,18646877,0.0,0.0,RELIANCE,0.4438640401857341,RELIANCE announces investment in green energy (Ref: 783),1
